id,subfield,subfield_name,title,first_author,venue,year,tier,arxiv_id,doi,url,one_line_summary
V2-124,2,在线学习/延迟反馈/在线共形预测/不确定性量化,Conformal Prediction Algorithms for Time Series Forecasting: Methods and Benchmarking,Andro Sabashvili,arXiv preprint,2026,preprint,2601.18509,,https://arxiv.org/abs/2601.18509,综述并基准化时序共形预测算法：涵盖松弛可交换性、重定义数据单元、残差动态建模与在线自适应四类方案。
V2-125,2,在线学习/延迟反馈/在线共形预测/不确定性量化,Intermittent time series forecasting: local vs global models,Stefano Damato,arXiv preprint,2026,preprint,2601.14031,,https://arxiv.org/abs/2601.14031,首个间歇性时序上概率化局部与全局模型的系统比较：为全局神经模型引入 hurdle-shifted 负二项与 Tweedie 分布头。
V2-126,2,在线学习/延迟反馈/在线共形预测/不确定性量化,LLM Flow Processes for Text-Conditioned Regression,Felix Biggs,arXiv preprint,2026,preprint,2601.06147,,https://arxiv.org/abs/2601.06147,针对 LLM 回归误差级联与过宽密度的问题，提出 LLM 边际密度与轻量扩散神经过程的专家乘积组合及免梯度采样方法。
V2-127,2,在线学习/延迟反馈/在线共形预测/不确定性量化,METP: Multi-Granularity Integration of External Covariates for Temporal Point Processes,Boyang Li,arXiv preprint,2026,preprint,,10.1609/aaai.v40i27.39448,https://doi.org/10.1609/aaai.v40i27.39448,针对时序点过程忽略外部协变量多粒度滞后效应的问题，提出多粒度外部协变量整合框架 METP，配滞后感知校准与层级专家混合。
V2-128,2,在线学习/延迟反馈/在线共形预测/不确定性量化,Neural Conformal Control for Time Series Forecasting,Ruipu Li,arXiv preprint,2025,preprint,,10.1609/aaai.v39i17.34029,https://doi.org/10.1609/aaai.v39i17.34029,提出神经共形控制：神经控制器端到端利用多视图辅助数据达成目标覆盖，融合单调性约束保证分位区间一致并支持少样本。
V2-129,2,在线学习/延迟反馈/在线共形预测/不确定性量化,Non-collective Calibrating Strategy for Time Series Forecasting,Bin Wang,arXiv preprint,2025,preprint,2506.03176,10.48550/arXiv.2506.03176,https://arxiv.org/abs/2506.03176,提出模型无关校准策略 Socket+Plug：冻结骨干、每个预测目标独占优化器与早停监控，化解多目标学习冲突。
V2-130,2,在线学习/延迟反馈/在线共形预测/不确定性量化,Probabilistic Forecasting of Irregularly Sampled Time Series with Missing Values via Conditional Normalizing Flows,Vijaya Krishna Yalavarthi,arXiv preprint,2025,preprint,,10.1609/aaai.v39i20.35494,https://doi.org/10.1609/aaai.v39i20.35494,针对不规则缺失时序仅估计边际高斯分布的问题，提出 ProFITi：条件正规化流+可逆三角注意力学习联合条件分布。
V2-131,2,在线学习/延迟反馈/在线共形预测/不确定性量化,CRAFT: Time Series Forecasting with Cross-Future Behavior Awareness,Yingwei Zhang,arXiv preprint,2025,preprint,2505.13896,10.48550/arXiv.2505.13896,https://arxiv.org/abs/2505.13896,针对预测受限于历史观测不确定性的问题，提出 CRAFT：利用跨未来行为特征，Koopman 预测器提取关键趋势+内部趋势挖掘补全未知区域。
V2-132,3,不规则采样时序(IMTS)/医疗时序,Autoregressive EHR Foundation Models with Multimodal Inputs,Yuxuan Liu,ICML 2026,2026,CCF-A,2607.22264,,https://arxiv.org/abs/2607.22264,提出把 ECG 波形、胸片与临床笔记等多模态经模态专属潜在压缩与门控交叉注意力条件化注入自回归 EHR 基础模型的框架，并消融压缩与编码器选择。
V2-133,3,不规则采样时序(IMTS)/医疗时序,Embedding Hybrid Systems into Continuous Latent Vector Fields,Sangli Teng,ICML 2026,2026,CCF-A,2606.10596,,https://arxiv.org/abs/2606.10596,证明 n 维混合系统可嵌入具连续向量场的 2n+ 维欧氏空间，据此用带双空间一致性损失的潜在神经 ODE 从时序数据恢复混合系统流。
V2-134,3,不规则采样时序(IMTS)/医疗时序,Can we generate portable representations for clinical time series data using LLMs?,Zongliang Ji,ICLR 2026,2026,CCF-A,2603.23987,,https://arxiv.org/abs/2603.23987,研究 LLM 能否生成可跨医院迁移的患者嵌入：将不规则 ICU 时序映射为自然语言摘要再经冻结文本嵌入模型编码，实现最少重训的可移植预测。
V2-135,3,不规则采样时序(IMTS)/医疗时序,FlowPath: Learning Data-Driven Manifolds with Invertible Flows for Robust Irregularly-sampled Time Series Classification,YongKyung Oh,AAAI 2026,2026,CCF-A,2511.10841,10.1609/aaai.v40i29.39643,https://arxiv.org/abs/2511.10841,针对神经受控微分方程对固定插值控制路径敏感的问题，提出 FlowPath，用可逆神经流学习数据自适应的连续控制路径流形。
V2-136,3,不规则采样时序(IMTS)/医疗时序,Neural Stochastic Flows: Solver-Free Modelling and Inference for SDE Solutions,Naoki Kiyohara,NeurIPS 2025,2025,CCF-A,2510.25769,,https://arxiv.org/abs/2510.25769,针对 SDE 采样依赖昂贵数值求解器的问题，提出神经随机流 NSF，用保持随机流性质的条件正则化流直接学习转移律，实现任意时点一步采样。
V2-137,3,不规则采样时序(IMTS)/医疗时序,RAxSS: Retrieval-Augmented Sparse Sampling for Explainable Variable-Length Medical Time Series Classification,Aydin Javadov,NeurIPS 2025,2025,CCF-A,2510.02936,,https://arxiv.org/abs/2510.02936,针对变长医疗时序稀疏噪声的分类难题，提出检索增强稀疏采样框架 RAxSS，按通道内相似度加权窗口预测并在概率空间聚合，兼顾可解释性。
V2-138,3,不规则采样时序(IMTS)/医疗时序,DeltaSHAP: Explaining Prediction Evolutions in Online Patient Monitoring with Shapley Values,Changhun Kim,ICML 2025,2025,CCF-A,2507.02342,,https://arxiv.org/abs/2507.02342,针对在线患者监测需解释连续预测变化的需求，提出 DeltaSHAP，将 Shapley 值适配到时间设置，实时归因预测演化的幅度与方向。
V2-139,3,不规则采样时序(IMTS)/医疗时序,Early Prediction of Multiple Sclerosis Disability Progression via Multimodal Foundation Model Benchmarks,Maxime Usdin,IJCAI 2025,2025,CCF-A,2506.14986,,https://arxiv.org/abs/2506.14986,针对多发性硬化残疾进展早期预测，系统评测表格/时序基础模型与多模态 Transformer，证明数字表型数据与多模态融合的增益。
V2-140,3,不规则采样时序(IMTS)/医疗时序,Stable CDE Autoencoders with Acuity Regularization for Offline Reinforcement Learning in Sepsis Treatment,Yue Gao,IJCAI 2025,2025,CCF-A,2506.15019,,https://arxiv.org/abs/2506.15019,针对败血症离线 RL 中序列表示训练不稳定的问题，提出稳定化 CDE 自编码器并以临床急重度评分相关性正则化状态表示。
V2-141,3,不规则采样时序(IMTS)/医疗时序,MedGNN: Towards Multi-resolution Spatiotemporal Graph Learning for Medical Time Series Classification,Wei Fan,WWW 2025,2025,CCF-A,2502.04515,,https://arxiv.org/abs/2502.04515,针对医疗时序多分辨率时空联合依赖建模不足，提出 MedGNN 多分辨率时空图学习框架，兼顾基线漂移与多视图特性。
V2-142,3,不规则采样时序(IMTS)/医疗时序,Toward Learning Shift-Invariant Representations for Healthcare Series Classification,Yuan Liu,TKDE,2026,CCF-A,,10.1109/TKDE.2026.3667978,https://doi.org/10.1109/TKDE.2026.3667978,针对医疗时序分类在数据漂移下鲁棒性与可解释性不足的问题，提出 SHINE，经趋势/季节/噪声解耦生成建模学习漂移不变表示。
V2-143,3,不规则采样时序(IMTS)/医疗时序,Attentive Continuous-Time Generative Adversarial Networks for Irregular Time Series Imputation,Yakun Wang,TKDE,2025,CCF-A,,10.1109/TKDE.2025.3617659,https://doi.org/10.1109/TKDE.2025.3617659,针对不规则序列插补忽略时间连续性的问题，提出注意力连续时间 GAN（ACGANet），将离散序列转为连续时间流并对抗学习真实分布。
V2-144,3,不规则采样时序(IMTS)/医疗时序,"Disentangling Dynamics: Advanced, Scalable and Explainable Imputation for Multivariate Time Series",Shuai Liu,TKDE,2025,CCF-A,,10.1109/TKDE.2025.3558405,https://doi.org/10.1109/TKDE.2025.3558405,针对插补方法表示纠缠且需全跨度输入的问题，提出 TIDER/AdaTIDER，用解耦表示分别捕捉正交时序模式，实现可扩展可解释插补。
V2-145,3,不规则采样时序(IMTS)/医疗时序,Temporal and Spatial Analysis in Early Sepsis Prediction via Causal Disentanglements,Qiang Li,TKDE,2025,CCF-A,,10.1109/TKDE.2025.3569584,https://doi.org/10.1109/TKDE.2025.3569584,针对败血症早期预测中虚假相关与因果缺失的问题，提出序列化因果解耦模型 SCDM，将潜变量解耦为败血症相关/其他疾病因子。
V2-146,3,不规则采样时序(IMTS)/医疗时序,UniPACT: A Multimodal Framework for Prognostic Question Answering on Raw ECG and Structured EHR,Jialu Tang,ICASSP 2026,2026,CCF-B,2601.17916,,https://arxiv.org/abs/2601.17916,针对 LLM 难以原生处理结构化 EHR 与原始 ECG 的问题，提出 UniPACT，将 EHR 文本化并与 ECG 波形表示融合以统一预后问答。
V2-147,3,不规则采样时序(IMTS)/医疗时序,Rethinking Large Language Models For Irregular Time Series Classification In Critical Care,Feixiang Zheng,ICASSP 2026,2026,CCF-B,2601.16516,,https://arxiv.org/abs/2601.16516,系统评测 LLM 时序方法在高缺失 ICU 不规则数据上的表现，发现编码器设计比多模态对齐策略更关键，显式建模不规则性收益显著。
V2-148,3,不规则采样时序(IMTS)/医疗时序,Still Competitive: Revisiting Recurrent Models for Irregular Time Series Prediction,Ankitkumar Joshi,TMLR 2026,2026,Journal(TMLR),2510.16161,,https://arxiv.org/abs/2510.16161,重审 RNN 类方法在不规则时序上的竞争力，提出带指数基函数的 GRUwE，维护马尔可夫状态支持连续时间回归与事件预测。
V2-149,3,不规则采样时序(IMTS)/医疗时序,Federated Markov Imputation: Privacy-Preserving Temporal Imputation in Multi-Centric ICU Environments,Christoph Düsing,ECML-PKDD,2025,CCF-B,2509.20867,,https://arxiv.org/abs/2509.20867,针对多中心 ICU 联邦学习中时间粒度不一的缺失问题，提出联邦马尔可夫插补 FMI，隐私保护地协同构建全局转移模型。
V2-150,3,不规则采样时序(IMTS)/医疗时序,Compositionality in Time Series: A Proof of Concept using Symbolic Dynamics and Compositional Data Augmentation,Michael Hagmann,TMLR 2025,2025,Journal(TMLR),2508.20656,,https://arxiv.org/abs/2508.20656,提出时序组合性概念验证：用符号动力学重构临床时序的潜在状态与组合规则，并以组合式数据增广缓解低资源问题。
V2-151,3,不规则采样时序(IMTS)/医疗时序,Investigating a Model-Agnostic and Imputation-Free Approach for Irregularly-Sampled Multivariate Time-Series Modeling,Abhilash Neog,TMLR,2025,Journal(TMLR),2502.15785,,https://arxiv.org/abs/2502.15785,针对 IMTS 需两阶段插补或专用架构的问题，提出模型无关免插补的 MissTSM，并系统实验对比各 IMTS 方法在分类与预测上的表现。
V2-152,3,不规则采样时序(IMTS)/医疗时序,Enhancing Irregular Time Series Forecasting with Continuous-Time Modeling Framework,Tianen Shen,arXiv preprint,2026,preprint,2607.28035,,https://arxiv.org/abs/2607.28035,针对 ODE 类连续时间建模求解开销大的问题，提出 WrapFlow，经连续时间 tokenization 直接编码不规则观测实现高效预测。
V2-153,3,不规则采样时序(IMTS)/医疗时序,DRIFT: Direct-Recursive Intervention-Conditioned Forecasting of ICU Physiological Trajectories,Weixin Liu,arXiv preprint,2026,preprint,2607.25864,,https://arxiv.org/abs/2607.25864,针对 ICU 生理轨迹预测需条件化于治疗行动的问题，提出 DRIFT 混合框架：直接模型出主预测，递归行动条件模型加约束校正。
V2-154,3,不规则采样时序(IMTS)/医疗时序,A Cost-Effective Multimodal LLM Reasoning Framework for Question Answering over Irregular Clinical Time Series,Frank Nie,arXiv preprint,2026,preprint,2607.25947,,https://arxiv.org/abs/2607.25947,针对多模态 LLM 难以建模临床观测稀疏异步的问题，提出 ClinPRISM：不规则感知多尺度编码器+时间证据蒸馏器+渐进对齐的低成本推理框架。
V2-155,3,不规则采样时序(IMTS)/医疗时序,Causal Discovery on Irregular Time Series,Martim Penim,arXiv preprint,2026,preprint,2607.18226,,https://arxiv.org/abs/2607.18226,针对因果发现依赖规则滞后结构的问题，扩展 PCMCI+ 以时间窗聚合因果影响，实现不规则采样时序上的因果发现。
V2-156,3,不规则采样时序(IMTS)/医疗时序,LLM4EHR: Aligning Clinical Time Series with Medical Event Sequences via Large Language Models,Jingteng Li,arXiv preprint,2026,preprint,2607.15447,,https://arxiv.org/abs/2607.15447,针对现有临床基础模型未充分利用事件与时序观测共享时间结构的问题，提出 LLM4EHR，对齐临床时序与医疗事件序列进行预训练。
V2-157,3,不规则采样时序(IMTS)/医疗时序,LongMedBench: Benchmarking Medical Agents for Long-Horizon Clinical Decision-Making,Zihan Xu,arXiv preprint,2026,preprint,2607.09322,,https://arxiv.org/abs/2607.09322,提出基于 MIMIC-IV 的长程临床决策基准 LongMedBench：335 名患者的多次住院事件流与长上下文记忆数据，评测医疗 agent 的纵向决策。
V2-158,3,不规则采样时序(IMTS)/医疗时序,CLIR-Bench: Benchmarking Multimodal Question Answering over Irregular Clinical Time Series,Frank Nie,arXiv preprint,2026,preprint,2607.09880,,https://arxiv.org/abs/2607.09880,提出不规则临床时序问答基准 CLIR-Bench：6600 个 QA 实例覆盖 11 个变量与 4 个能力维度，每题关联显式时间证据。
V2-159,3,不规则采样时序(IMTS)/医疗时序,MedTS-TTT: Test-Time Training for Medical Time Series Classification,Mingzhi Chen,arXiv preprint,2026,preprint,2606.21329,,https://arxiv.org/abs/2606.21329,针对医疗时序个体级分布漂移的问题，提出测试时训练框架 MedTS-TTT，基于闭环自对齐 TTT 与门控卷积实现低开销在线适应。
V2-160,3,不规则采样时序(IMTS)/医疗时序,Anomaly Detection for Sparse and Irregular Multivariate Time Series with Latent SDEs,Martin Uray,arXiv preprint,2026,preprint,2606.18898,,https://arxiv.org/abs/2606.18898,针对稀疏不规则多元时序的异常检测，提出基于潜在 SDE 的生成方法，将观测投影到连续时间随机动力系统直接处理缺失与不规则采样。
V2-161,3,不规则采样时序(IMTS)/医疗时序,Balanced Twins: Causal Inference on Time Series with Hidden Confounding,Maha Ouali,arXiv preprint,2026,preprint,2606.18969,,https://arxiv.org/abs/2606.18969,针对时序中隐混杂与错峰施治下的个体处理效应估计，提出 Balanced Twins 神经框架，联合学习低维潜表示与倾向评分恢复个体反事实。
V2-162,3,不规则采样时序(IMTS)/医疗时序,Informative Missingness to Generate Irregular Clinical Time Series,Hadi Mehdizavareh,arXiv preprint,2026,preprint,2606.17106,,https://arxiv.org/abs/2606.17106,针对 EHR 化验缺失本身含信息的特性，提出扩散式临床时序生成方法，联合建模化验值与观测模式（信息性缺失）。
V2-163,3,不规则采样时序(IMTS)/医疗时序,Hierarchical ODE: Learning Continuous-Time Physical Prototypes for Early Link Failure Detection,Jiaen Lv,arXiv preprint,2026,preprint,2606.14284,,https://arxiv.org/abs/2606.14284,针对时序原型学习难以从噪声中解耦连续动态的问题，提出层级 ODE 聚类网络，以神经 ODE 建模潜状态连续演化并自适应确定原型数。
V2-164,3,不规则采样时序(IMTS)/医疗时序,Existence Precedes Value: Joint Modeling of Observational Existence and Evolving States in Time Series Forecasting,Yifan Hu,arXiv preprint,2026,preprint,2606.13571,,https://arxiv.org/abs/2606.13571,针对连续时间模型推断时隐含假设未来观测时间戳已知的问题，提出 Timeflies，将预测重构为未来可观测性推断与值预测的联合问题。
V2-165,3,不规则采样时序(IMTS)/医疗时序,TRIAGE: Dialectical Reasoning for Explainable Risk Prediction on Irregularly Sampled Medical Time Series with LLMs,Hyeongwon Jang,arXiv preprint,2026,preprint,2606.09030,,https://arxiv.org/abs/2606.09030,针对 LLM 在不规则医疗时序风险预测中风险两极化的问题，提出 TRIAGE，训练 LLM 就竞争性临床结局生成辩证推理以输出连续校准风险分。
V2-166,3,不规则采样时序(IMTS)/医疗时序,"Comparative Analysis of Liquid Neural Networks and LSTM for Sequential Pattern Recognition: Robustness, Efficiency, and Clinical Utility",Ye Kyaw Thu,arXiv preprint,2026,preprint,2605.27467,,https://arxiv.org/abs/2605.27467,对液态神经网络（CfC）与 LSTM 在四类序列模态上系统对比，经时间 dropout 压力测试证明 LNN 的参数效率与缺失鲁棒性优势。
V2-167,3,不规则采样时序(IMTS)/医疗时序,Prospective evaluation of multimodal respiratory failure prediction: Do chest X-rays improve performance beyond EHR signals?,Xiaolei Lu,arXiv preprint,2026,preprint,2605.26255,,https://arxiv.org/abs/2605.26255,前瞻性评估胸片信息能否在 EHR 信号之外提升呼吸衰竭预测，提出门控多模态框架按临床上下文自适应控制影像特征贡献。
V2-168,3,不规则采样时序(IMTS)/医疗时序,"TreeText-CTS: Compact, Source-Traceable Tree-Path Evidence for Irregular Clinical Time-Series Prediction",Kwanhyung Lee,arXiv preprint,2026,preprint,2605.20292,,https://arxiv.org/abs/2605.20292,针对数值时序模型证据不可读的问题，提出 TreeText-CTS，将不规则 EHR 轨迹经冻结 XGBoost 树路径转为紧凑可溯源的文本证据单元。
V2-169,3,不规则采样时序(IMTS)/医疗时序,Toward World Modeling of Physiological Signals with Chaos-Theoretic Balancing and Latent Dynamics,Yunfei Luo,arXiv preprint,2026,preprint,2605.15465,,https://arxiv.org/abs/2605.15465,提出生理信号世界模型 NormWear-2，将多元生理信号与临床干预编码至共享潜空间联合演化，并用混沌理论平衡预训练。
V2-170,3,不规则采样时序(IMTS)/医疗时序,MILM: Large Language Models for Multimodal Irregular Time Series with Informative Sampling,Hsing-Huan Chung,arXiv preprint,2026,preprint,2605.13711,,https://arxiv.org/abs/2605.13711,针对多模态不规则时序（数值+文本）的分类，提出 MILM，以 XML 三元组表示 MITS 并经两阶段微调让 LLM 先学采样模式再学数值语义。
V2-171,3,不规则采样时序(IMTS)/医疗时序,ReTAMamba: Reliability-Aware Temporal Aggregation with Mamba for Irregular Clinical Time Series Prediction,Jinwoong Kim,arXiv preprint,2026,preprint,2605.16380,,https://arxiv.org/abs/2605.16380,针对临床时序观测可靠性随时间衰减未被建模的问题，提出 ReTAMamba，估计观测可靠性并以时序编织整合多分辨率信息。
V2-172,3,不规则采样时序(IMTS)/医疗时序,From Prediction to Practice: A Task-Aware Evaluation Framework for Blood Glucose Forecasting,Alireza Namazi,arXiv preprint,2026,preprint,2605.00645,,https://arxiv.org/abs/2605.00645,针对聚合指标掩盖高风险时段失效的问题，提出面向低血糖预警与胰岛素决策的任务感知血糖预测评估框架，用事件级召回与误报负担度量。
V2-173,3,不规则采样时序(IMTS)/医疗时序,Differentiable latent structure discovery for interpretable forecasting in clinical time series,Ivan Lerner,arXiv preprint,2026,preprint,2604.27967,,https://arxiv.org/abs/2604.27967,提出连续时间多任务 GP 模型 StructGP 及其潜在通路扩展，经可微结构学习发现变量间稀疏 DAG 以实现可解释临床预测。
V2-174,3,不规则采样时序(IMTS)/医疗时序,Learning Fingerprints for Medical Time Series with Redundancy-Constrained Information Maximization,Huayu Li,arXiv preprint,2026,preprint,2605.00130,,https://arxiv.org/abs/2605.00130,针对 MAE 类自监督缺乏紧凑可解释表示的问题，提出指纹 token 框架，用交叉注意力瓶颈将变长医疗时序压缩为定长充分统计量。
V2-175,3,不规则采样时序(IMTS)/医疗时序,FeatEHR-LLM: Leveraging Large Language Models for Feature Engineering in Electronic Health Records,Hojjat Karami,arXiv preprint,2026,preprint,2604.22534,,https://arxiv.org/abs/2604.22534,针对 EHR 特征工程需处理不规则采样的问题，提出 FeatEHR-LLM，让 LLM 仅基于数据模式与任务描述生成可执行特征提取代码。
V2-176,3,不规则采样时序(IMTS)/医疗时序,Learning Dynamic Representations and Policies from Multimodal Clinical Time-Series with Informative Missingness,Zihan Liang,arXiv preprint,2026,preprint,2604.21235,,https://arxiv.org/abs/2604.21235,针对多模态临床时序中观测过程本身含信息的问题，提出显式利用信息性缺失的患者表示学习框架，联合学习动态表示与策略。
V2-177,3,不规则采样时序(IMTS)/医疗时序,DBGL: Decay-aware Bipartite Graph Learning for Irregular Medical Time Series Classification,Jian Chen,arXiv preprint,2026,preprint,2604.11842,,https://arxiv.org/abs/2604.11842,针对不规则医疗时序的采样与变量衰减双重不规则性，提出衰减感知二部图学习框架 DBGL，用患者-变量二部图免对齐建模。
V2-178,3,不规则采样时序(IMTS)/医疗时序,MATA-Former & SIICU: Semantic Aware Temporal Alignment for High-Fidelity ICU Risk Prediction,Zhichong Zheng,arXiv preprint,2026,preprint,2604.01727,,https://arxiv.org/abs/2604.01727,针对二值监督与物理时间戳限制 ICU 风险预测的问题，提出医疗语义感知 Time-ALiBi Transformer 与平台高斯软标签，并构建 SIICU 数据集。
V2-179,3,不规则采样时序(IMTS)/医疗时序,A Practical Guide Towards Interpreting Time-Series Deep Clinical Predictive Models: A Reproducibility Study,Yongda Fan,arXiv preprint,2026,preprint,2603.24828,,https://arxiv.org/abs/2603.24828,对临床深度预测模型可解释方法进行可复现基准评测，考察注意力等架构特性与解释方法跨任务的泛化。
V2-180,3,不规则采样时序(IMTS)/医疗时序,"The Taxonomies, Training, and Applications of Event Stream Modelling for Electronic Health Records",Mingcheng Zhu,arXiv preprint,2026,preprint,2603.14003,,https://arxiv.org/abs/2603.14003,系统综述 EHR 事件流建模：统一定义、分类学、训练协议与应用，梳理从多元时序到事件流表示的转变。
V2-181,3,不规则采样时序(IMTS)/医疗时序,Temporally Phenotyping GLP-1RA Case Reports with Large Language Models: A Textual Time Series Corpus and Risk Modeling,Sayantan Kumar,arXiv preprint,2026,preprint,2604.06197,,https://arxiv.org/abs/2604.06197,构建 GLP-1RA 病例报告文本时序语料（136 例），评测 LLM 时间线抽取并演示下游生存分析建模。
V2-182,3,不规则采样时序(IMTS)/医疗时序,A federated learning framework with knowledge graph and temporal transformer for early sepsis prediction in multi-center ICUs,Yue Chang,arXiv preprint,2026,preprint,2603.15651,,https://arxiv.org/abs/2603.15651,针对多中心 ICU 数据孤岛与隐私约束的问题，提出联邦学习+医学知识图谱+时间 Transformer+MAML 的早期脓毒症预测框架。
V2-183,3,不规则采样时序(IMTS)/医疗时序,A Multi-Agent Framework for Interpreting Multivariate Physiological Time Series,Davide Gabrielli,arXiv preprint,2026,preprint,2603.04142,,https://arxiv.org/abs/2603.04142,提出角色结构化多智能体系统 Vivaldi 解释多元生理时序：临床试点揭示 agentic 编排对非思考模型有益而对思考模型不然。
V2-184,3,不规则采样时序(IMTS)/医疗时序,Benchmarking LLM Summaries of Multimodal Clinical Time Series for Remote Monitoring,Aditya Shukla,arXiv preprint,2026,preprint,2603.01557,,https://arxiv.org/abs/2603.01557,提出多模态临床时序摘要的事件级评测框架：以规则化异常阈值与持续性标准衡量 LLM 摘要的异常召回、时长召回与幻觉。
V2-185,3,不规则采样时序(IMTS)/医疗时序,Structure-Aware Set Transformers: Temporal and Variable-Type Attention Biases for Asynchronous Clinical Time Series,Joohyung Lee,arXiv preprint,2026,preprint,2603.06605,,https://arxiv.org/abs/2603.06605,针对 EHR 点集 token 化丢失变量内轨迹与局部跨变量语境的问题，提出 STAR Set Transformer：时间局部性惩罚+变量类型亲和注意力偏置。
V2-186,3,不规则采样时序(IMTS)/医疗时序,Continuous-Time Piecewise-Linear Recurrent Neural Networks,Alena Brändle,arXiv preprint,2026,preprint,2602.15649,,https://arxiv.org/abs/2602.15649,针对分段线性 RNN 皆为离散时间映射的问题，提出连续时间分段线性 RNN，兼顾动力系统重构性能、数学可解析性与不规则采样。
V2-187,3,不规则采样时序(IMTS)/医疗时序,U-Former ODE: Fast Probabilistic Forecasting of Irregular Time Series,Ilya Kuleshov,arXiv preprint,2026,preprint,2602.11738,,https://arxiv.org/abs/2602.11738,针对 Neural CDE 顺序计算慢的问题，提出 UFO：U-Net 多尺度并行特征+Transformer 全局建模+连续时间动态的不规则时序概率预测。
V2-188,3,不规则采样时序(IMTS)/医疗时序,Task- and Metric-Specific Signal Quality Indices for Medical Time Series,Jad Haidamous,arXiv preprint,2026,preprint,2602.12478,,https://arxiv.org/abs/2602.12478,将信号质量形式化为任务与指标相关概念，提出扰动式 pSQI：以加性有色噪声下的最差性能检测算法在医疗信号上的失效。
V2-189,3,不规则采样时序(IMTS)/医疗时序,Generative clinical time series models trained on moderate amounts of patient data are privacy preserving,Rustam Zhumagambetov,arXiv preprint,2026,preprint,2602.10631,,https://arxiv.org/abs/2602.10631,对中等规模患者数据训练的生成式临床时序模型做隐私审计，评估成员推断风险并论证其隐私保护性。
V2-190,3,不规则采样时序(IMTS)/医疗时序,Capture Timing-Attention of Events in Clinical Time Series,Jia Li,arXiv preprint,2026,preprint,2602.10385,,https://arxiv.org/abs/2602.10385,提出个体级时间变量范式 LITT：以事件时机注意力使时机成为可计算维度，在乳腺癌 EHR 上实现轨迹发现与反事实时机推演。
V2-191,3,不规则采样时序(IMTS)/医疗时序,Bridging the Compression-Precision Paradox: A Hybrid Architecture for Clinical EEG Report Generation with Guaranteed Measurement Accuracy,Wuyang Zhang,arXiv preprint,2026,preprint,2602.10544,,https://arxiv.org/abs/2602.10544,针对 EEG 报告生成中极端压缩破坏测量精度的问题，提出混合架构：压缩前信号处理提取精确临床值+跨模态桥+受约束解码。
V2-192,3,不规则采样时序(IMTS)/医疗时序,When do neural ordinary differential equations generalize on complex networks?,Moritz Laber,arXiv preprint,2026,preprint,2602.08980,,https://arxiv.org/abs/2602.08980,研究神经 ODE 在图结构动态系统上的泛化：度异质性与动力系统类型是跨图规模泛化的首要因素，聚类系数次之。
V2-193,3,不规则采样时序(IMTS)/医疗时序,TwinWeaver: An LLM-Based Foundation Model Framework for Pan-Cancer Digital Twins,Nikita Makarov,arXiv preprint,2026,preprint,2601.20906,,https://arxiv.org/abs/2601.20906,"提出 LLM 数字孪生框架 TwinWeaver：将 93,054 名泛癌患者纵向病史序列化为文本统一事件预测与轨迹预报，显著降低 MASE。"
V2-194,3,不规则采样时序(IMTS)/医疗时序,EvoMorph: Counterfactual Explanations for Continuous Time-Series Extrinsic Regression Applied to Photoplethysmography,Mesut Ceylan,arXiv preprint,2026,preprint,2601.10356,,https://arxiv.org/abs/2601.10356,针对时序外在回归缺乏反事实解释的问题，提出 EvoMorph：演化生成保持波形形态且生理可信的 PPG 连续反事实。
V2-195,3,不规则采样时序(IMTS)/医疗时序,Temporal Fusion Nexus: A task-agnostic multi-modal embedding model for clinical narratives and irregular time series in post-kidney transplant care,Aditya Kumar,arXiv preprint,2026,preprint,2601.08503,,https://arxiv.org/abs/2601.08503,提出任务无关多模态嵌入模型 TFN：融合不规则时序与临床叙事文本，在肾移植后移植物丢失/排斥/死亡预测上超越基线。
V2-196,3,不规则采样时序(IMTS)/医疗时序,DT-ICU: Towards Explainable Digital Twins for ICU Patient Monitoring via Multi-Modal and Multi-Task Iterative Inference,Wen Guo,arXiv preprint,2026,preprint,2601.07778,,https://arxiv.org/abs/2601.07778,提出 ICU 数字孪生框架 DT-ICU：变长临床时序+静态信息统一多任务架构，随观测累积迭代更新风险估计并作模态消融解释。
V2-197,3,不规则采样时序(IMTS)/医疗时序,Contextual Discrepancy-Aware Contrastive Learning for Robust Medical Time Series Diagnosis in Small-Sample Scenarios,Kaito Tanaka,arXiv preprint,2026,preprint,2601.07548,,https://arxiv.org/abs/2601.07548,针对小样本医疗时序诊断的问题，提出 CoDAC：上下文差异估计器量化异常分数，动态加权多视图对比学习聚焦判别区域。
V2-198,3,不规则采样时序(IMTS)/医疗时序,CaT-Diff: Cascaded Text-enhanced Diffusion Model for Time-Series Imputation,Chang Xu,arXiv preprint,2026,preprint,,10.1609/aaai.v40i32.39937,https://doi.org/10.1609/aaai.v40i32.39937,针对文本增强插补中 LLM 文本噪声难过滤的问题，提出级联文本增强扩散模型 CaT-Diff，用层级语义过滤器与 MoE 抑制无关语义。
V2-199,3,不规则采样时序(IMTS)/医疗时序,Riemannian Liquid Spatio-Temporal Graph Network,Liangsi Lu,arXiv preprint,2026,preprint,2601.14115,10.1145/3774904.3792090,https://arxiv.org/abs/2601.14115,针对液态时间常数网络囿于欧氏空间造成几何失真的问题，提出黎曼液态时空图网络 RLSTG，在曲面流形上直接构建 ODE 建模不规则动态图。
